tweet,id,name,location,topic,created_at,processed_on
@TheRealVinny29 I was relieved today #PfizerVaccine  g/l man....ur in shape and young!,1392238212442120193,Brianj,"Weller Park, Ontario",PfizerVaccine ,Tue May 11 22:00:31 +0000 2021,2021-05-11 21:07:54
I have a fever and I feel like I have been ran over. #PfizerVaccine #2nddose,1392237999916822532,Sandi 🏳️‍🌈,,PfizerVaccine ,Tue May 11 21:59:40 +0000 2021,2021-05-11 21:07:54
So glad to be vaxxed today 💉 #PfizerVaccine #GetVaccinated #COVIDVaccination #PfizerGang,1392237410159714305,Mat Simpson,Meanjin,PfizerVaccine ,Tue May 11 21:57:19 +0000 2021,2021-05-11 21:07:54
I just got my first round of the #PfizerVaccine  at my local Meijers. #sciencesaveslives https://t.co/ZwPqGT4kNL,1392236575954804741,humanoid outlaw,"Grand Rapids, MI",PfizerVaccine ,Tue May 11 21:54:00 +0000 2021,2021-05-11 21:07:54
"again, like the FIRST dose (shot???), ARM A LITTLE SORE...,(May 12, 2021; 5:50 HKT) #COVID19VACCINATION… https://t.co/79xm0L8j8N",1392236083279110147,ActivistBowen,Hong Kong,PfizerVaccine ,Tue May 11 21:52:03 +0000 2021,2021-05-11 21:07:54
United States drug regulator approves Pfizer's coronavirus vaccine for 12 to 15 year olds #UnitedStates… https://t.co/5puPQ5532i,1392235566758973440,www.THEPIGEONEXPRESS.com,,PfizerVaccine ,Tue May 11 21:50:00 +0000 2021,2021-05-11 21:07:54
DO NOT TAKE THE VACCINE! Woman in background passes out after receiving shot. #vaccination #CovidVaccine… https://t.co/Px998BhPm7,1392234926741860353,JustDerrick,Everywhere I want to be,PfizerVaccine ,Tue May 11 21:47:27 +0000 2021,2021-05-11 21:07:54
@CTVNationalNews Had #PfizerVaccine  today #Niagara,1392233806766252044,Brianj,"Weller Park, Ontario",PfizerVaccine ,Tue May 11 21:43:00 +0000 2021,2021-05-11 21:07:54
i hate to bring covid onto timelines and such but i’m wondering if ANYONE has gotten the pfizer vaccine and could l… https://t.co/O9qcKRw8w3,1392233293307944968,hope;),,PfizerVaccine ,Tue May 11 21:40:58 +0000 2021,2021-05-11 21:07:54
@gqinsk @drsusanshaw Got my #PfizerVaccine April 29th in Hafford - was well worth the drive for this 34 year old… https://t.co/GhFTeWqC3m,1392232046689325057,Christine McKechnie,Saskatoon,PfizerVaccine ,Tue May 11 21:36:01 +0000 2021,2021-05-11 21:07:54
"Didn’t plan to hit #PfizerVaccine side effects bingo today, but I don’t regret my choice 😌 

Green drinks helped a… https://t.co/aZlUfx3ikK",1392231982474665990,Michelle_ 🌿☕️✨,IRL_HOU ,PfizerVaccine ,Tue May 11 21:35:45 +0000 2021,2021-05-11 21:07:54
Thankful and blessed that I got vaccinated today. #UCWarrior #UlcerativeColitis #PfizerVaccine #COVID19Ontario,1392230222804750337,Mrs. Bains,,PfizerVaccine ,Tue May 11 21:28:46 +0000 2021,2021-05-11 21:07:54
I don't really wanna show my face 😅 but to tell ya'll I got #vaccinated with #PfizerVaccine at Centennial College,1392229905853681666,💗💕ℝ𝕒𝕟𝕕𝕠𝕞 𝒦𝒾𝒹 🟩💕💗,"Canada, in Toronto",PfizerVaccine ,Tue May 11 21:27:30 +0000 2021,2021-05-11 21:07:54
That moment when you realize that you have no idea how much of your extreme fatigue and sleepiness today is due to… https://t.co/Wd8ipBRm0Z,1392229717802201090,Randi Chance,"Upland, IN",PfizerVaccine ,Tue May 11 21:26:45 +0000 2021,2021-05-11 21:07:54
"#vaccinated #PfizerVaccine #SaudiArabia 💪🏼 💉 

Cheers lads @JohnsHopkinsIH  @Aramco",1392228614226198531,Sanyam Vyas,"Bristol, England",PfizerVaccine ,Tue May 11 21:22:22 +0000 2021,2021-05-11 21:07:54
Thank you @VaxHuntersCan @Sunnybrook #vaccinated #PfizerVaccine https://t.co/oV2Pq7XFMp,1392227190943723525,RaksSamara,Toronto,PfizerVaccine ,Tue May 11 21:16:43 +0000 2021,2021-05-11 21:07:54
@BartTuszkiewicz It was #PfizerVaccine 💙,1392226862257131526,RaksSamara,Toronto,PfizerVaccine ,Tue May 11 21:15:24 +0000 2021,2021-05-11 21:07:54
Got my first dose of the #PfizerVaccine  💉 https://t.co/9tEtiJAmla,1392226298110504962,Amber Williamson,"Colorado, USA",PfizerVaccine ,Tue May 11 21:13:10 +0000 2021,2021-05-11 21:07:54
Had my second #Pfizer jab today. Will feel much more secure in a few weeks when the full effect kicks in. So thankf… https://t.co/MPWUIEIKtM,1392225772375613444,Elliot G Grimshaw,"Manchester, England.",PfizerVaccine ,Tue May 11 21:11:05 +0000 2021,2021-05-11 21:07:54
Told that my 2nd AZ shot MAY be available late July... at this juncture... given discussions on mixing &amp; matching n… https://t.co/rla9D7UcKE,1392225416144822275,Mitch Thomas #RazorBladeSurfer,"Vancouver, B.C. ",PfizerVaccine ,Tue May 11 21:09:40 +0000 2021,2021-05-11 21:07:54
The @US_FDA has authorized the Pfizer-BioNTech #COVID19 vaccine for emergency use in adolescents aged 12 through 15… https://t.co/KJKkQsPP10,1392224531570376707,Consultant360,"East Windsor, NJ",PfizerVaccine ,Tue May 11 21:06:09 +0000 2021,2021-05-11 21:07:54
Just got my second round of the #PfizerVaccine and a blackberry scone. I'm now completely invincible,1392221969886507008,Stormdael,,PfizerVaccine ,Tue May 11 20:55:58 +0000 2021,2021-05-11 21:07:54
"@JulieRohrYEG Our 14 year old had a sore arm, not a great appetite, very sleepy and felt like she could cry for no… https://t.co/j43ncxIasf",1392221473897472003,Kara Stang,,PfizerVaccine ,Tue May 11 20:54:00 +0000 2021,2021-05-11 21:07:54
Maya was a total rockstar today and rolled up her sleeve to get her #PfizerVaccine. A huge thanks to all our health… https://t.co/9QpN16Jq7o,1392219676973756416,Kristy Ruaben,,PfizerVaccine ,Tue May 11 20:46:51 +0000 2021,2021-05-11 21:07:54
"The #PfizerVaccine has been approved for kids age 12-15, but a lot of parents still have questions. So we brought i… https://t.co/3vvqTSRNyE",1392219208881147907,Anna & Raven Show,United States,PfizerVaccine ,Tue May 11 20:45:00 +0000 2021,2021-05-11 21:07:54
i got #AstraZeneca for dose 1 and regret nothing as i feel significantly safer having a jab + 3 weeks of antibodies… https://t.co/rgrQefVZz0,1392216374769029126,DaverBnard,toronto,PfizerVaccine ,Tue May 11 20:33:44 +0000 2021,2021-05-11 21:07:54
First dose of the vaccine 💉 done. I didn’t pass out or have an anxiety attack so yay me! #CovidVaccine #PfizerVaccine,1392216324902842373,⁷/₇ Kat 🔗 ENC∞RE,"She/her North Dakota, USA",PfizerVaccine ,Tue May 11 20:33:32 +0000 2021,2021-05-11 21:07:54
"One shot down, one to go. Get vaccinated! 

#COVID19 #COVID19Vaccine #pfizervaccine #GetVaccinated https://t.co/vsdM7b9m7V",1392215857330368518,Viktor Nagornyy,Dover - New York - Montreal,PfizerVaccine ,Tue May 11 20:31:41 +0000 2021,2021-05-11 21:07:54
Fully Vaccinated 💉💉and I feel great no side effect #PfizerVaccine,1392215583027048448,ikeproc,D(M)V,PfizerVaccine ,Tue May 11 20:30:35 +0000 2021,2021-05-11 21:07:54
"Wait WHAT? The health worker accidentally put 6-doses into one syringe 😬

#news #CovidVaccine #PfizerVaccine https://t.co/HoTPdlx0yw",1392214695847751683,Vover,,PfizerVaccine ,Tue May 11 20:27:04 +0000 2021,2021-05-11 21:07:54
