tweet,id,name,location,topic,created_at,processed_on
"@Westin @WestinHapuna @whatsupabie we need to plan a vacation post haste! ❤️🙌🏾

#VaccinesWork 
#vaccinated… https://t.co/jgkXKbzFxc",1392263767912718340,Miranda (OG Account),"Los Angeles, CA",Vaccinated ,Tue May 11 23:42:03 +0000 2021,2021-05-11 21:09:19
"I'm back and I'm not dead!

Gonna take more than a vaccine to kill this stupid meat suit I'm possessing.

#Vtuber… https://t.co/iZwddr0Nsa",1392263262448889870,Izzaezel,,Vaccinated ,Tue May 11 23:40:03 +0000 2021,2021-05-11 21:09:19
Feeling so tired. #vaccinated,1392262929572057099,Mindy Tsai,Boston,Vaccinated ,Tue May 11 23:38:44 +0000 2021,2021-05-11 21:09:19
I’m now fully #vaccinated #COVID19Vaccination #moderna #vaxupmanatee https://t.co/HqAXmeekIB,1392262677607731200,tearin paper,,Vaccinated ,Tue May 11 23:37:43 +0000 2021,2021-05-11 21:09:19
The best part of getting #vacinated was attending my daughter's Law School Graduation at UMich and hugging her and… https://t.co/xHZbsd8Ugm,1392262556291682308,lori cohen,"Boston, MA",Vaccinated ,Tue May 11 23:37:15 +0000 2021,2021-05-11 21:09:19
"495 days since the first case of this virus! And today, I have done my part, to help to bend the curve even more! I… https://t.co/Rg3dyTzeBb",1392262539581419521,Lovejivan Sidhu,"Calgary, Alberta",Vaccinated ,Tue May 11 23:37:11 +0000 2021,2021-05-11 21:09:19
All these 12-15yos just waiting for the chance to get #Vaccinated —&amp; telling me so!!—you’ve got hero status. #GetVaccinated #IOWA,1392262150555521025,Ruby for Iowa,"Iowa, USA",Vaccinated ,Tue May 11 23:35:38 +0000 2021,2021-05-11 21:09:19
"131/365
It doesn't count unless I take a photo, right? 
💙

#Project365 #photooftheday #selfie #myface… https://t.co/dC9UTqCZe6",1392262031395393539,Kay Rose🐝💙💚,Rhode Island,Vaccinated ,Tue May 11 23:35:09 +0000 2021,2021-05-11 21:09:19
"5g at maximum power
#vaccinated",1392261844748865536,Jonathan,"Chicago, IL",Vaccinated ,Tue May 11 23:34:25 +0000 2021,2021-05-11 21:09:19
When you are afraid to tel people you are vaccinetd and have used chinese vaccine...and wait for one month to uploa… https://t.co/di0SNPtINd,1392261665333420032,Dr Afaq Farooq,peshawar kpk pakistan,Vaccinated ,Tue May 11 23:33:42 +0000 2021,2021-05-11 21:09:19
Got my second shot #vaccinated https://t.co/EkdxLwoObi,1392260925827203072,Kr💻🎮,Europa,Vaccinated ,Tue May 11 23:30:46 +0000 2021,2021-05-11 21:09:19
"Get the vaccine, stop the spread and protect love ones. #vaccinated #Pfizer's COVID-19 #COVID19 #uidesign… https://t.co/wfiWyJ9djx",1392260328218578946,Solomon Buhari,"Lowell, MA",Vaccinated ,Tue May 11 23:28:23 +0000 2021,2021-05-11 21:09:19
no surpise here. #vaccinated https://t.co/DeAcYUnQY0,1392260319125381123,SimplyCarlos,"Miami, FL",Vaccinated ,Tue May 11 23:28:21 +0000 2021,2021-05-11 21:09:19
"All vaxxed up, and ready to go! #vaccinated #pfizer Excited to have some peace of mind ✌🏻 No reactions or anything… https://t.co/SmqUjKAWMN",1392260010160312324,Henry James Abrams ☯️,"Southern California, USA",Vaccinated ,Tue May 11 23:27:08 +0000 2021,2021-05-11 21:09:19
"It will never not amaze me how 80 degrees can feel cool by comparison to a hellish afternoon high. Florida, I hate… https://t.co/Lk9ZQsNvwY",1392259843260551168,h-mak,San Francisco,Vaccinated ,Tue May 11 23:26:28 +0000 2021,2021-05-11 21:09:19
Check me off -- second shot today #vaccinated https://t.co/vkcagIgkwz,1392259585092751360,James Gavitt,,Vaccinated ,Tue May 11 23:25:26 +0000 2021,2021-05-11 21:09:19
Second Pfizer dose down! Now I’m as powerful as #PickleRick #HousePfizer #Vaccinated https://t.co/TYro8wc5QE,1392259546127601664,Capri_Teal,,Vaccinated ,Tue May 11 23:25:17 +0000 2021,2021-05-11 21:09:19
"RISKY BUSINESS, where #vaccinated members can socialize face to face, share beer and shots and kombucha and tea, pl… https://t.co/xflhSfStS5",1392259451634155521,Liz Masters,"Burbank, CA",Vaccinated ,Tue May 11 23:24:54 +0000 2021,2021-05-11 21:09:19
I got to hug my Grandmother today for the first time in 460 days. That’s why you get vaccinated. #vaccinated,1392259247371653120,Bob Gilchrist,"Massachusetts, USA",Vaccinated ,Tue May 11 23:24:06 +0000 2021,2021-05-11 21:09:19
"Food, music, fun and #COVID19 #Vaccines Friday at our Gov't. Ctr. Amphitheater. Join @CommishMcCurdy and… https://t.co/xFGfmadcTk",1392259174717788163,Clark County Nevada,"Las Vegas, Nevada",Vaccinated ,Tue May 11 23:23:48 +0000 2021,2021-05-11 21:09:19
Got my 2nd #fauciouchie and am now  #vaccinated #vaccinationdone✔️ https://t.co/OZ2B9ZIO87,1392258832198291461,Jenn Bridges,"San Francisco, CA",Vaccinated ,Tue May 11 23:22:27 +0000 2021,2021-05-11 21:09:19
Anybody else feel like this is the first spring in a long time? #vaccinated,1392258686576300032,Chris Peterson,"Seattle, WA",Vaccinated ,Tue May 11 23:21:52 +0000 2021,2021-05-11 21:09:19
Just got vaccinated. Finally!#vaccinated https://t.co/9GaBkBIxXO,1392258495848882179,Smirking Gun Reviews,,Vaccinated ,Tue May 11 23:21:06 +0000 2021,2021-05-11 21:09:19
"Resuming in-person schooling accelerated #covid spread.  Fucking duh.

https://t.co/UZpuEdn2ch

#VaccinesWork… https://t.co/icBd9pHdBd",1392258238628786182,"Hank ""fully vaccinated"" Stalica",California,Vaccinated ,Tue May 11 23:20:05 +0000 2021,2021-05-11 21:09:19
"Experts who are vaccinated feel safe and no longer worried about #covid:

https://t.co/kiwAORY2H7

#VaccinesWork… https://t.co/rAeUnqxYbY",1392257987092250627,"Hank ""fully vaccinated"" Stalica",California,Vaccinated ,Tue May 11 23:19:05 +0000 2021,2021-05-11 21:09:19
FREE DONUTS HERE I COME #vaccinated,1392257741721247748,Tom // overcast ☁️,"San Francisco, CA",Vaccinated ,Tue May 11 23:18:07 +0000 2021,2021-05-11 21:09:19
Second vaccine jab is in the books! #vaccinated,1392257494710378501,Bethany Pace,"Maryland, USA",Vaccinated ,Tue May 11 23:17:08 +0000 2021,2021-05-11 21:09:19
"Media: @JReinerMD to @jaketapper: ""Instead of hawking the message of '#masks in public,' what the administration sh… https://t.co/tx6pImW8fM",1392257444491972608,Porter Anderson,,Vaccinated ,Tue May 11 23:16:56 +0000 2021,2021-05-11 21:09:19
Beach anyone? #obx #vacation2021 #postcovid #vaccinated https://t.co/qwS8p4OY0k,1392257150173450241,SD,"North Carolina, USA",Vaccinated ,Tue May 11 23:15:46 +0000 2021,2021-05-11 21:09:19
guys I hear that if you get vaccinated your hotness levels go 📈📈📈 so go get #vaccinated,1392256956706983944,JT,Content ,Vaccinated ,Tue May 11 23:15:00 +0000 2021,2021-05-11 21:09:19
Cool. Up in LA they’re using metro transit centers as vaccination sites. It’s so great to have smart people in char… https://t.co/dKEmr9IlNw,1392256917808893952,Science is progress #FBR,,Vaccinated ,Tue May 11 23:14:50 +0000 2021,2021-05-11 21:09:19
"Hundreds of colleges will required #covid vaccinations for the fall:

https://t.co/p3rwBHPn7q

#VaccinesWork… https://t.co/JzXMXlq8qb",1392256902998806528,"Hank ""fully vaccinated"" Stalica",California,Vaccinated ,Tue May 11 23:14:47 +0000 2021,2021-05-11 21:09:19
"Day #491 of the #pandemic:  U.S. official says booster shots will be free to the public:

https://t.co/dvUbUuN9EN… https://t.co/dV1R3Q6qUI",1392256651697090563,"Hank ""fully vaccinated"" Stalica",California,Vaccinated ,Tue May 11 23:13:47 +0000 2021,2021-05-11 21:09:19
